waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
136,73945.81928965301,73982.206154021,36.09234000998549,10000,2500
137,73945.819389653,73982.432100481,36.386776813000324,10000,2500
138,73945.819489653,73982.704095766,36.612617177990614,10000,2500
139,73945.81958965301,73982.921974331,36.88451901199005,10000,2500
140,73945.819689653,73983.1413276,37.10229737800546,10000,2500
141,73945.819789653,73983.411954568,37.32155186099408,10000,2500
142,73945.81988965301,73983.682688154,37.59207724798762,10000,2500
143,73945.819989653,73983.925862725,37.86271059200226,10000,2500
144,73945.820089653,73984.237463509,38.10578724599327,10000,2500
145,73945.82018965301,73984.449082292,38.41728657898784,10000,2500
146,73945.820289653,73984.776885474,38.62880503499764,10000,2500
